영화코드,영화제목,장르,상영시간,등급,개봉일,리뷰1,리뷰2,리뷰3,리뷰4,리뷰5,감성점수,전체리뷰,정제단어문장,최종키워드
23021100,[ROH 오페라] 세비야의 이발사,공연,199 분,전체관람가,2023.03.27,너무 웃기고 때로는 너무 진지해요. 여자 배우가 연기도 노래도 너무 잘 했어요. 무대 연출도 굉장히 독특하구요.,탄탄한 스토리를 기반으로 한 연출과 가창력 모두 만족스러웠다,"볼만합니다..,,,","모든 연주자, 특히 피가로역 연주자의 소리는 정~~말 기품있고 힘차네요!",너무 재밌게 본 첫 오페라,56.578,"너무 웃기고 때로는 너무 진지해요. 여자 배우가 연기도 노래도 너무 잘 했어요. 무대 연출도 굉장히 독특하구요. 탄탄한 스토리를 기반으로 한 연출과 가창력 모두 만족스러웠다 볼만합니다..,,, 모든 연주자, 특히 피가로역 연주자의 소리는 정~~말 기품있고 힘차네요! 너무 재밌게 본 첫 오페라",피가로 연주자 기반 연출 연출 가창력 무대 연출 연주자 소리 진지하다 독특하다 탄탄하다 배우 연기 하다 모든 진지하다 여자,"연주자, 진지하다, 연출, 피가로, 가창력"
23021200,찬란한 나의 복수,드라마,89 분,15세이상관람가,2023.03.29,복수는 용서하는걸로 힘들다 휴,용서가 제일 쉬웠어요,한국영화 화이팅!!!!,남보라는 솔직히 좀 어색했다만.. 노인 연기는 좋았음,그럼에도 불구하고 내가 열심히 잘 살아가는게 최고의 복수다!!,51.228,복수는 용서하는걸로 힘들다 휴 용서가 제일 쉬웠어요 한국영화 화이팅!!!! 남보라는 솔직히 좀 어색했다만.. 노인 연기는 좋았음 그럼에도 불구하고 내가 열심히 잘 살아가는게 최고의 복수다!!,복수 용서 는걸 용서 는걸 힘들다 살아가다 남보라 솔직하다 화이팅 남보라 용서 는걸 불구 노인 연기 쉽다 한국영 한국영 화이팅,"용서, 는걸, 남보라, 화이팅, 한국영"
23021300,사랑의 고고학,드라마,163 분,15세이상관람가,2023.04.12,과거 내 사랑의 자취를 발굴해나가며 ..,너무 너무 좋았어요,영실이가 끝끝내 발굴한 것은 무엇일까?,"과거의 연애, 현재의 상태, 미래의 관계",3시간 흐름이 2시간 흐름이었다면 어땠을까 아쉬움,42.88,"과거 내 사랑의 자취를 발굴해나가며 .. 너무 너무 좋았어요 영실이가 끝끝내 발굴한 것은 무엇일까? 과거의 연애, 현재의 상태, 미래의 관계 3시간 흐름이 2시간 흐름이었다면 어땠을까 아쉬움",과거 연애 상태 미래 과거 사랑 연애 현재 현재 상태 끝내 좋다 발굴 하다 나가다 사랑 자취,"연애, 상태, 과거, 현재, 사랑"
23021400,불멸의 여자,드라마,87 분,15세이상관람가,2023.04.05,연국같은 영화였습니다.,한국 특유의 진상 문화를 파헤친 연극을 기대했으나 사이코 스릴러와 치정극으로 흘러 실망스러웠다.,배우들의 뛰어난 연기에 압도당한다.,이런 답답한 현실이 안타깝네요.  연기가 👍,연극무대를 그대로 영화로 옮긴 작품,48.552,연국같은 영화였습니다. 한국 특유의 진상 문화를 파헤친 연극을 기대했으나 사이코 스릴러와 치정극으로 흘러 실망스러웠다. 배우들의 뛰어난 연기에 압도당한다. 이런 답답한 현실이 안타깝네요.  연기가 👍 연극무대를 그대로 영화로 옮긴 작품,스릴러 치정 연기 무대 영화로 옮기다 연기 압도 당하다 진상 문화 그대로 영화로 사이코 스릴러 압도 당하다 이렇다 한국 특유 무대 그대로,"그대로, 당하다, 압도, 스릴러, 영화로"
23021500,[아카데미] 파벨만스,드라마,151 분,12세이상관람가,2023.03.14,"스필버그 감독을 위한 자서전, 선물같은 영화",거장의 솔직하고 겸손한 품격,"스필버그가 세계 최고의 감독인 이유.
그가 얼마나 영화를 사랑한지 알 수 있다.",안 본다고 크게 놓치는 게 있는지는 모르겠는 영화,스필버그 어린시절 기억 복각 영화,55.906000000000006,"스필버그 감독을 위한 자서전, 선물같은 영화 거장의 솔직하고 겸손한 품격 스필버그가 세계 최고의 감독인 이유.
그가 얼마나 영화를 사랑한지 알 수 있다. 안 본다고 크게 놓치는 게 있는지는 모르겠는 영화 스필버그 어린시절 기억 복각 영화",영화 거장 거장 솔직하다 영화 스필버그 영화 사랑 한지 복각 영화 솔직하다 겸손하다 스필버그 어린시절 품격 스필버그 스필버그 감독 거장,"스필버그, 거장, 솔직하다, 영화, 품격"
23021700,감각의 제국 감독판,드라마,102 분,청소년관람불가,2023.03.18,"내 목을 졸라줘, 그래야 꿈틀거리는 네 물건이 더욱더 잘 느껴지니까. 날 죽여줘, 네 물건을 내 몸 안에서 영원히 간직하고 싶어. 우리가 합체하면 나는 네가 되고 너는 내가 된다.",블러처리가 심해서 몰입이 방해됩니다,삶의 그 끈끈한 기록,고전의 고전 지금봐도 과감한 내용,"블러처리 과함.
가위질도 너무 많음.
몰입 와장창.",52.504000000000005,"내 목을 졸라줘, 그래야 꿈틀거리는 네 물건이 더욱더 잘 느껴지니까. 날 죽여줘, 네 물건을 내 몸 안에서 영원히 간직하고 싶어. 우리가 합체하면 나는 네가 되고 너는 내가 된다. 블러처리가 심해서 몰입이 방해됩니다 삶의 그 끈끈한 기록 고전의 고전 지금봐도 과감한 내용 블러처리 과함.
가위질도 너무 많음.
몰입 와장창.",몰입 죽여주다 물건 물건 더욱더 영원하다 간직 기록 고전 고전 고전 심하다 몰입 물건 지금 보다 과감 영원하다,"물건, 고전, 영원하다, 몰입, 간직"
23022100,부운,드라마,123 분,15세이상관람가,2023.03.18,다카미네 히데코의 얼굴에 설득되어 중반 이후부터는 계속 울컥울컥,그때의 일본을 좋아하진 않지만 영화는 괜찮네,신파를 신파가 아니게 그리는 연출과 연기,시대상을 거스르며 감상하기엔 무리다,다카미네 히데코의 연기가 일품,61.02,다카미네 히데코의 얼굴에 설득되어 중반 이후부터는 계속 울컥울컥 그때의 일본을 좋아하진 않지만 영화는 괜찮네 신파를 신파가 아니게 그리는 연출과 연기 시대상을 거스르며 감상하기엔 무리다 다카미네 히데코의 연기가 일품,연출 연기 다카 미네 데코 데코 연기 그리다 연출 데코 얼굴 시대 스르 스르 감상 하다 감상 하다 무리 계속 그때,"데코, 스르, 감상, 연출, 미네"
23022200,토니 타키타니,드라마,76 분,12세이상관람가,2023.03.18,👍👍👍👍👍,고독이란 감옥과도 같다고 그는 생각했다,고독은 극복할 수 있는 것이 아니다. 때론 밑빠진 독에 물 붓기나 다름 없는 것임을 알면서도 우리는 그것을 할 수 밖에 없나보다.,대사로 처리하는 영화 싫어하는데도 집중해서 봄,독특한 연출과 여운이 남는 스토리,35.05,👍👍👍👍👍 고독이란 감옥과도 같다고 그는 생각했다 고독은 극복할 수 있는 것이 아니다. 때론 밑빠진 독에 물 붓기나 다름 없는 것임을 알면서도 우리는 그것을 할 수 밖에 없나보다. 대사로 처리하는 영화 싫어하는데도 집중해서 봄 독특한 연출과 여운이 남는 스토리,알다 우리 처리 하다 영화 대사 처리 하다 고독 감옥 여운 남다 연출 여운 아니다 독특하다 연출 처리 하다 아니다 때론,"처리, 여운, 아니다, 연출, 감옥"
23022600,[뮤지컬] 안나 카레니나,뮤지컬,132 분,12세이상관람가,2023.03.29,러시아사람들이 하는 뮤지컬을 처음 봤네요. 무대도 노래도 배우도 모두 훌륭했어요,모스크바와 상트페테르부르크로 떠나고싶어지는 아름다운 음악과 뛰어난 가창력. 실공연 객석에선 보기힘든 배우들의 표정을 큰 화면으로 자세히 볼 수 있어서 넘 좋았다!,불륜 미화 싫어요ㅠㅠ,러시아 뮤지컬 첨인데 대단합니다. 노래도 연출도 굿!,모직 한곡을 위해서 달리는 느낌,45.614,러시아사람들이 하는 뮤지컬을 처음 봤네요. 무대도 노래도 배우도 모두 훌륭했어요 모스크바와 상트페테르부르크로 떠나고싶어지는 아름다운 음악과 뛰어난 가창력. 실공연 객석에선 보기힘든 배우들의 표정을 큰 화면으로 자세히 볼 수 있어서 넘 좋았다! 불륜 미화 싫어요ㅠㅠ 러시아 뮤지컬 첨인데 대단합니다. 노래도 연출도 굿! 모직 한곡을 위해서 달리는 느낌,보기 힘드다 배우 표정 화면 배우 표정 연출 모직 훌륭하다 모스크바 객석 보기 힘드다 모스크바 상트페테르부르크 러시아 뮤지컬 뮤지컬 처음 모스크바,"모스크바, 힘드다, 표정, 뮤지컬, 보기"
23022700,마리아 칼라스: 세기의 디바,다큐멘터리,113 분,전체관람가,2023.04.05,"노래가 궁금해서 봤는데, 개인사, 특히 남자얘기가 중점이라 좀 실망. Elle  etait docile, intelligente et tres travailleuse.",마리아 칼라스의 이야기와 노래를 영화관에서 보고 들을 수 있어서 좋았습니다.,그냥 칼라스의 일대기를 보는것으로 만족한다 무대 공연 장면을 많이 보고 싶었는데 조금 아쉽게 느껴진다,한 시대를 풍미한 그녀의 이야기를 그녀의 노래와 함께하는건 축볼일지도.. 단 오페라를 좋아한다면~,칼라스의 인생을 보며 내 삶을 점검해 보는 시간이 되었습니다.,35.814,"노래가 궁금해서 봤는데, 개인사, 특히 남자얘기가 중점이라 좀 실망. Elle  etait docile, intelligente et tres travailleuse. 마리아 칼라스의 이야기와 노래를 영화관에서 보고 들을 수 있어서 좋았습니다. 그냥 칼라스의 일대기를 보는것으로 만족한다 무대 공연 장면을 많이 보고 싶었는데 조금 아쉽게 느껴진다 한 시대를 풍미한 그녀의 이야기를 그녀의 노래와 함께하는건 축볼일지도.. 단 오페라를 좋아한다면~ 칼라스의 인생을 보며 내 삶을 점검해 보는 시간이 되었습니다.",노래 영화관 영화관 보고 영화관 칼라스 인생 칼라스 일대기 마리아 칼라스 무대 공연 마리아 시대 밉다 그녀 노래,"칼라스, 마리아, 영화관, 노래, 일대기"
